id;token;urutan;id_user;id_ruangan;jenis;no_kalibrasi;tgl_berlaku;tgl_berakhir;tgl_perolehan;no_inventaris;sarana;merk;tipe;no_seri;tgl_operasi;asal_perolehan;nilai_perolehan;kondisi;keterangan;title;filename;golongan;umur;tarif;penyusutan;tgl_input;status;created_at;updated_at;deleted_at
1;eyJpdiI6IjQySnU0YlVLU0ZudVBncDQ3U0xlcGc9PSIsInZhbHVlIjoicFpOM292eHhwSFFwRnhaMGpPOWdFQ2RhSjMxRzUrbXpickNyMmxFYllBWT0iLCJtYWMiOiJhOWM5ZjlhZjNmZWM2Y2QwZjYwZjgyOGMzOTdmYTY1YzEzZWZkYzE4N2M0MGJlMTEwNjk3YWQ0Nzk4ODE1YTUxIiwidGFnIjoiIn0=;1;83;4;1;NULL;NULL;NULL;08/05/2024;00.03.27.2.1.1.7.A.1.2024;BEDSIDE MONITOR;SUNA;NULL;NULL;08/05/2024;1;5000000;1;NULL;"[""c389204d-7b8c-436c-a48a-696d4ae2dfe2.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/4\/2HTdELlJKPLTNTXssS6VeL72qx1ugJ8E8t1ONeZ9.jpg""]";NULL;NULL;NULL;NULL;08/05/2024;NULL;08/05/2024 11:08;14/05/2024 08:59;14/05/2024 08:59
2;eyJpdiI6InNmWmwwVGI3dytQZWRNNkdTdThFWFE9PSIsInZhbHVlIjoiRHREMDBqOVd3ZGNQRGpFSytBMFdOY2UzZGY4T1NuOU1Fd3ZKMitUL043ST0iLCJtYWMiOiJiNmY1NmU0OTM2OGRlMDFlNmJlOTU4OGQ1ZDI1MTE1MGM3MjlkMmFhMjYxYzdjNWIxMmE2YmNkYjlhNjRmZWRhIiwidGFnIjoiIn0=;2;83;3;1;NULL;NULL;NULL;08/05/2024;00.03.27.1.3.3.1.A.2.2024;BEDSIDE MONITOR;MINDRAY;UMEC-10;NULL;09/05/2024;1;15000000;1;NULL;"[""AF1QipOM1cnYFuZzf-dWzLhyD24F5I9-MOWsXM_ohkr5=w1322-h330.png""]";"[""public\/files\/inventaris\/aset\/sarana\/3\/S9rnIxHANH4O5jOfcwjTMXkJOIy8lk6wdhQaBnWM.png""]";NULL;NULL;NULL;NULL;08/05/2024;NULL;08/05/2024 11:11;14/05/2024 08:59;14/05/2024 08:59
3;eyJpdiI6IktDMGl0MXNOQW82aGprNGhybGZldUE9PSIsInZhbHVlIjoiQy9Lck9sdStyVmI3TE82TmdvZG5oSXV5dmNFUDFwdks5dEpIQVBCU2NWdz0iLCJtYWMiOiJhMTkwYTU4Yzk5MGMwNzcyNmU3ZWMzMzcwNmYwODU1Njk4MDYyMTcwNGM4NjBmYWEwODRiNmUwMzM0MTJhMzc3IiwidGFnIjoiIn0=;1;2;2;2;NULL;NULL;NULL;14/05/2024;00.03.27.1.1.1.1.B.1.2024;asds;sadsa;NULL;NULL;14/05/2024;1;5000;1;NULL;"[""Denah Gerak Jalan RSPKUSKH 2023.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/2\/UHTuKDuBX0HHkWMUUlt2Pp1KqAOYC6Rw0NRnzfWV.jpg""]";NULL;NULL;NULL;NULL;14/05/2024;0;14/05/2024 09:00;14/05/2024 10:06;NULL
4;eyJpdiI6IlJrQUxOaHlGY096NDZmT3l4MldEMUE9PSIsInZhbHVlIjoiZXVpZlZGdmVHTHA5elpaM2NRWnRuTWxyckovcmZXaXNjUjhDZUNyK3NNMD0iLCJtYWMiOiJiMzY4MTVmOThkMTYyMmZlYmUxZThmZGRkNzJmYjNmOWMyOTlhMDFjNGUyYmZkZjllYmJjZTMxYmJiMzJhYjNkIiwidGFnIjoiIn0=;2;2;2;2;NULL;NULL;NULL;14/05/2024;00.03.27.1.1.1.1.B.2.2024;vbnvmnnb,mmn;,m,hjhgjghj;NULL;NULL;22/05/2024;1;65555;1;NULL;"[""Mapping POS Antrean.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/2\/G01Uf1gYuWNZjwd590osDBt8Hj3feecbxJzDTeGD.jpg""]";NULL;NULL;NULL;NULL;14/05/2024;NULL;14/05/2024 10:10;14/05/2024 10:10;NULL
5;eyJpdiI6IjlHZURUTk5URFVsamRJUE1hUkUxMGc9PSIsInZhbHVlIjoidzhVZ1U4Z3QzLy9tcVFXZTRLNE9ZQytvY1NRSmtGNVNpdUpmcXRWdWFsST0iLCJtYWMiOiI5NDEwYzYyODAzOGE4ZDE5ZjAwM2NjN2NkZDJjZDUzNDU4YjhlNmZkN2JiMDJiNGY0Y2M5MWRjZWJmNDRhNjhmIiwidGFnIjoiIn0=;3;2;2;2;NULL;NULL;NULL;NULL;00.03.27.1.1.1.1.B.3.2024;",kjl;iuohpiopi";gdfgfgfd;NULL;NULL;24/05/2024;2;567657;1;NULL;"[""background.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/2\/IMRUtvvKbZRV1od43DhzioHoo6iVxtNoxcMcwl0X.jpg""]";NULL;NULL;NULL;NULL;14/05/2024;NULL;14/05/2024 10:11;14/05/2024 10:11;NULL
6;eyJpdiI6IjRNRlFKdUVCSERVZGlibW1qc1BpTUE9PSIsInZhbHVlIjoiczNoNXY0aThmNHNhVXJCOVMwN0RqczVhdzNYNDJsYU9GV0hwVHVxRThwRT0iLCJtYWMiOiIwMjZmYmY4YTBlOWVlMWU1MTNlYjA0Mjc0MmNlYTM3NTM2Y2U5MmJhY2NiMTA3Nzk0NDkxYTM4NzRiZDE3ZmVmIiwidGFnIjoiIn0=;1;2;3;1;NULL;NULL;NULL;NULL;00.03.27.1.3.3.1.A.1.2024;24trtrehgg;cfsdfsd;vbvcb;NULL;30/05/2024;1;423423423;1;NULL;"[""003.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/3\/e9NsdwPPjkv9BMoVNQpeh4aNG6CZvLZOSQJZaur9.jpg""]";NULL;NULL;NULL;NULL;14/05/2024;NULL;14/05/2024 10:11;14/05/2024 10:11;NULL
7;eyJpdiI6ImFwU3RJcit1V0ltdXM1eXE0R0ZKaHc9PSIsInZhbHVlIjoibjV0N0ZNNFRvU3JpZ0s4dmNDRGR1cWg1Qlo1clFtZExZaGZKeUhqaVN1ND0iLCJtYWMiOiJhNWFmNDMyNDE5Yjg3MmQwYzU5N2YwNWI2MWQ5YWNlMGEzOTIyNDM2Mzg0N2U1M2E3NTRlODJkZTk1MDVhZDI3IiwidGFnIjoiIn0=;1;2;4;2;NULL;NULL;NULL;14/05/2024;00.03.27.2.1.1.7.B.1.2024;sadsadxzdvxcvCOBA;32543t;rehgvbmnvb;NULL;29/08/2024;1;10000000;1;NULL;"[""nebu_nec28.png"",""nrbulixxer.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/\/MZIwLuS6eDHdKtYprEpV04U2rRpToYjM0q37Z3xg.png"",""public\/files\/inventaris\/aset\/sarana\/\/WTuDL0YZCzaNvPnGgoDJcrGKFmGntUMkyWqDsffl.jpg""]";NULL;NULL;NULL;NULL;14/05/2024;0;14/05/2024 10:20;05/06/2024 14:47;NULL
8;eyJpdiI6IkZ4cWRZbVF1MHhJRHRDMWNtRndZdFE9PSIsInZhbHVlIjoiNW1MZ3Q1M0x3MTlNL1VRRmM0SkM2ZXBCd3NkTFFhVXdSSzJLd2kyNDNtWT0iLCJtYWMiOiI1NDVmYWMwN2QxMDRjNTM3MGMyNjNkMWI2ZDRlMzE1MGEwZjFlMGVmNjFhN2VhYmYxNmFhYTJjYWE3NDEyYjBkIiwidGFnIjoiIn0=;8;2;2;1;NULL;NULL;17/07/2025;04/06/2024;00.03.27.1.1.1.1.A.8.2024;Inventarisku;ghijk;lmnop;qrstu;06/06/2024;1;100000;2;vqxyz;"[""c389204d-7b8c-436c-a48a-696d4ae2dfe2.jpg"",""nrbulixxer.jpg""]";"[""public\/files\/inventaris\/aset\/sarana\/\/Ke8fVgoViahqjPsJyTvl60nfSfxrY1AslBFXbmer.jpg"",""public\/files\/inventaris\/aset\/sarana\/\/pG2UYT0KPTQ7G9wD9YMAJuKOemIBVez1080gAiFE.jpg""]";NULL;NULL;NULL;NULL;04/06/2024;0;04/06/2024 11:15;28/07/2024 14:47;NULL
9;eyJpdiI6IkJ5TnMwNHdGTHdmcWEwS2ZqdVhHMnc9PSIsInZhbHVlIjoidWtaR3VtN2s1WTNvcXBaRmx6OWIxQVNWQjJzOXhadWIwdmNCY2ovM0VCbz0iLCJtYWMiOiI5ZTQyOTg1MTQyZGJlZDhlMDg4MTE0NzFiMDJmYTQ5MTJiZGQ1MDcxYjA0NGRmYzUwNTU2ZDI1MjUxMzM3ZTYwIiwidGFnIjoiIn0=;4;2;2;2;NULL;NULL;NULL;09/07/2024;00.03.27.1.1.1.1.B.4.2024;xzcxzcxzvbvcbnv;hdfns  vbcvbcvfghgfhgf;NULL;NULL;17/07/2024;2;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12/07/2024;NULL;12/07/2024 13:08;12/07/2024 13:08;NULL
10;eyJpdiI6IllNelp4eG5MRWsxVU9FRGtlcXdCK3c9PSIsInZhbHVlIjoiV2tGcWlHek1uOHdCdzlWYU1uYkJrVExOL1oxZzVOVHpkaEtuNGJlZXA2bz0iLCJtYWMiOiJjNDQyMDA0NmM2NzgxOGJhOGQ2YTlmZGY3ZTAyYTFhMzU0NzQwYjFjZTNkNTlkYzY2OWRlN2U4NTExNjFmNmNkIiwidGFnIjoiIn0=;5;2;2;2;NULL;NULL;NULL;09/07/2024;00.03.27.1.1.1.1.B.5.2024;xzcxzcxzvbvcbnv;hdfns  vbcvbcvfghgfhgf;NULL;NULL;17/07/2024;2;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12/07/2024;NULL;12/07/2024 13:08;12/07/2024 13:08;NULL
