id;tmt;urutan_masuk;ref_profesi;nip;
4;2017-01-01;179;150;17.01.179;
5;2018-02-01;233;150;18.02.233;
6;2016-05-01;147;150;16.05.147;
7;2015-02-01;066;150;15.02.066;
9;2020-04-01;324;150;20.04.324;
10;2010-03-01;282;150;10.03.282;
11;2019-04-01;289;150;19.04.289;
15;2020-02-01;317;150;20.02.317;
16;2015-07-01;090;150;15.07.090;
17;2014-07-01;062;150;14.07.062;
18;2019-03-01;284;150;19.03.284;
21;2019-03-01;277;150;19.03.277;
22;2016-05-01;145;150;16.05.145;
23;2013-04-01;045;150;13.04.045;
24;2017-02-01;193;150;17.02.193;
25;2018-08-01;248;150;18.08.248;
26;2015-07-01;085;150;15.07.085;
27;2013-04-01;044;150;13.04.044;
28;2017-04-01;201;150;17.04.201;
30;2015-07-01;096;150;15.07.096;
32;2017-04-01;199;150;17.04.199;
33;2015-07-01;092;150;15.07.092;
34;2019-04-01;290;150;19.04.290;
35;2019-05-01;287;150;19.05.287;
36;2013-04-01;047;150;13.04.047;
37;2018-02-01;234;150;18.02.234;
38;2015-07-01;093;150;15.07.093;
40;2012-08-01;032;150;12.08.032;
41;2015-07-01;076;150;15.07.076;
44;2017-04-01;196;150;17.04.196;
45;2018-05-01;239;150;18.05.239;
49;2019-05-01;286;150;19.05.286;
51;2016-05-01;141;150;16.05.141;
52;2020-04-01;323;150;20.04.323;
53;2019-05-01;300;150;19.05.300;
56;2015-09-01;112;150;15.09.112;
58;2019-03-01;278;150;19.03.278;
59;2015-07-01;101;150;15.07.101;
61;2017-02-01;190;150;17.02.190;
62;2010-09-01;303;150;10.09.303;
63;2013-10-01;054;150;13.10.054;
64;2015-07-01;054;150;15.07.054;
65;2010-08-01;017;150;10.08.017;
66;2010-11-01;015;150;10.11.015;
67;2014-02-01;056;150;14.02.056;
68;2017-01-01;187;150;17.01.187;
69;2020-09-01;335;150;20.09.335;
70;2012-02-01;027;150;12.02.027;
71;2015-03-01;068;150;15.03.068;
72;2019-02-01;273;150;19.02.273;
73;2016-01-01;127;150;16.01.127;
75;2012-03-01;029;150;12.03.029;
76;2015-03-01;069;150;15.03.069;
77;2018-11-01;260;150;18.11.260;
78;2012-12-01;038;150;12.12.038;
79;2008-04-01;011;150;08.04.011;
82;2019-05-01;296;152;19.05.296;
83;2020-08-01;332;152;20.08.332;
84;2016-02-01;134;152;16.02.134;
85;2017-02-01;194;152;17.02.194;
86;2020-05-01;326;152;20.05.326;
87;2018-08-01;245;152;18.08.245;
88;2020-08-01;333;152;20.08.333;
90;2010-11-01;016;152;10.11.016;
91;2017-01-01;185;152;17.01.185;
93;2018-02-01;227;152;18.02.227;
94;2018-02-01;226;152;18.02.226;
96;2019-03-01;274;152;19.03.274;
97;2019-05-01;297;152;19.05.297;
98;2020-02-01;318;152;20.02.318;
99;2016-12-01;196;152;16.12.196;
100;2017-04-01;202;152;17.04.202;
101;2018-04-01;243;152;18.04.243;
102;2019-05-01;301;152;19.05.301;
103;2017-04-01;200;150;17.04.200;
104;2016-05-01;138;150;16.05.138;
106;2020-04-01;322;152;20.04.322;
107;2017-02-01;192;150;17.02.192;
108;2012-08-01;033;151;12.08.033;
110;2014-03-01;058;151;14.03.058;
111;2012-07-01;030;151;12.07.030;
112;2016-05-01;136;151;16.05.136;
113;2015-04-01;071;151;15.04.071;
114;2013-08-01;053;151;13.08.053;
115;2016-12-01;174;151;16.12.174;
116;2017-09-01;210;151;17.09.210;
117;2019-02-01;266;151;19.02.266;
118;2019-05-01;298;151;19.05.298;
119;2019-12-01;315;151;19.12.315;
121;2019-07-01;310;151;19.07.310;
123;2011-08-01;024;151;11.08.024;
124;2013-04-01;050;151;13.04.050;
125;2016-12-01;175;151;16.12.175;
126;2017-01-01;184;151;17.01.184;
127;2017-11-01;212;151;17.11.212;
128;2018-02-01;231;151;18.02.231;
129;2018-08-01;247;151;18.08.247;
130;2019-02-01;269;151;19.02.269;
131;2019-02-01;270;151;19.02.270;
132;2019-03-01;294;151;19.03.294;
133;2019-11-01;312;151;19.11.312;
134;2019-04-01;295;151;19.04.295;
135;2014-08-01;063;151;14.08.063;
136;2095-12-01;005;151;95.12.005;
137;2012-12-01;039;151;12.12.039;
138;2012-12-01;040;151;12.12.040;
139;2016-01-01;124;151;16.01.124;
140;2016-05-01;150;151;16.05.150;
142;2016-02-01;178;152;16.02.178;
143;2019-02-01;267;152;19.02.267;
144;2019-04-01;288;152;19.04.288;
145;2011-12-01;026;151;11.12.026;
146;2015-11-01;116;151;15.11.116;
147;2020-04-01;325;151;20.04.325;
149;2011-04-01;022;151;11.04.022;
150;2012-08-01;035;151;12.08.035;
151;2013-11-01;055;151;13.11.055;
152;2017-02-01;195;151;17.02.195;
153;2017-09-01;207;151;17.09.207;
154;2018-12-01;264;151;18.12.264;
157;2001-04-01;009;152;01.04.009;
158;2016-04-01;159;152;16.04.159;
159;2020-02-01;321;152;20.02.321;
160;2018-10-01;250;151;18.10.250;
162;2018-10-01;251;151;18.10.251;
164;2015-09-01;110;152;15.09.110;
166;2013-04-01;049;152;13.04.049;
167;2016-05-01;152;152;16.05.152;
168;2016-01-01;118;152;16.01.118;
169;2017-01-01;181;152;17.01.181;
170;2016-12-01;173;152;16.12.173;
171;2018-10-01;253;152;18.10.253;
172;2019-04-01;291;152;19.04.291;
174;2019-02-01;281;152;19.02.281;
175;2020-02-01;320;152;20.02.320;
176;2015-03-01;070;152;15.03.070;
177;2014-06-01;061;152;14.06.061;
178;2016-03-01;135;152;16.03.135;
179;2014-05-01;060;152;14.05.060;
180;2016-01-01;125;152;16.01.125;
181;2016-01-01;123;152;16.01.123;
182;2016-11-01;172;152;16.11.172;
184;2014-05-01;059;152;14.05.059;
185;2015-07-01;102;152;15.07.102;
186;2017-09-01;209;152;17.09209;
191;2013-02-01;041;152;13.02.041;
192;2020-02-01;319;152;20.02.319;
193;2018-04-01;242;152;18.04.242;
195;2010-03-01;014;152;10.03.014;
196;2013-04-01;043;152;13.04.043;
197;2012-09-01;036;152;12.09.036;
198;2016-12-01;177;152;16.12.177;
200;2021-01-01;342;151;21.01.342;
201;2021-01-01;340;150;21.01.340;
203;2021-01-01;361;150;21.01.361;
